"an","aff_str","ror_ids","match_status","Unnamed: 4","ror_names"
"7192470","CNRS, Univ. Lille, UMR 8524 - Laboratoire Paul Painlevé, F-59000Lille, France","052ahj806;02kzqn938","FP_partial","","Centre de Génétique Moléculaire;Université de Lille"
"7192472","Department of Mathematics, University of Macau, Avenida da Universidade, Taipa, Macau, China","01r4q9n85","TP","","University of Macau"
"7192472","Department of Mathematics and Statistics, Lancaster University, Lancaster, LA14YF, United Kingdom","04f2nsd36","TP","","Lancaster University"
"7192474","Department of Earth and Ocean Sciences University of British Columbia","03rmrcq20","TP","","University of British Columbia"
"7192474","Courant Institute of Mathematical Sciences, Center for Data Science New York University","0190ak572","TP","","New York University"
"7192474","Technische Universität Berlin","03v4gjf40","TP","","Technische Universität Berlin"
"7192474","Institute of Computer Graphics and Vision Graz University of Technology","00d7xrm67","TP","","Graz University of Technology"
"7192474","Department of Biomedical Engineering, Mathematical Institute for Data Science The Johns Hopkins University","00za53h95","TP","","Johns Hopkins University"
"7192475","Department of Electrical Engineering Technion, Israel Institute of Technology","0429kgt51","FP_wrong","","Geophysical Institute of Israel"
"7192475","Mathematical Institute for Data Science Johns Hopkins University","00za53h95","TP","","Johns Hopkins University"
"7192475","Department of Mathematics and Computer Science Weizmann Institute of Science","0316ej306","TP","","Weizmann Institute of Science"
"7192475","Department of Electrical Engineering Colorado School of Mines","","FN","",""
"7192476","LTCI, Télécom Paris Institut Polytechnique de Paris","01naq7912","TP","","Télécom Paris"
"7192476","LTCI, Télécom Paris Institut Polytechnique de Paris","042tfbd02","TP","","Institut Polytechnique de Paris"
"7192476","CNRS MAP5 Université Paris Descartes","00675rp98;0220k9r37","FP_partial","","Centre National pour la Recherche Scientifique et Technique (CNRST);Université Paris Descartes"
"7192477","Computer Science Technion—Israel Institute of Technology","03qryx823","TP","","Technion – Israel Institute of Technology"
"7192477","Department of Statistics Stanford University","00f54p054","TP","","Stanford University"
"7192477","Electrical Engineering Technion—Israel Institute of Technology","03qryx823","TP","","Technion – Israel Institute of Technology"
"7192477","Biomedical Engineering Johns Hopkins University","00za53h95","TP","","Johns Hopkins University"
"7192478","Department of Mathematical Sciences Carnegie Mellon University","05x2bcf33","TP","","Carnegie Mellon University"
"7192479","Department of Earth and Ocean Science The University of British Columbia","03rmrcq20","TP","","University of British Columbia"
"7192479","Xtract Technologies Inc.","","TN","",""
"7192479","Department of Mathematics Emory University","03czfpz43","TP","","Emory University"
"7192480","IMT Atlantique Lab-STICC, UMR CNRS 6285","","FN","",""
"7192480","IMT Atlantique LaTIM, UMR INSERM 1101","030hj3061","TP","","IMT Atlantique"
"7192481","Department of Mathematics University of Vienna","03prydq77","TP","","University of Vienna"
"7192481","Department of Ophthalmology Medical University of Vienna","03prydq77","TP","","University of Vienna"
"7192481","Department of Telecommunications Brno University of Technology","03613d656","TP","","Brno University of Technology"
"7192482","Department of Mathematics University of Vienna","03prydq77","TP","","University of Vienna"
"7192482","Department of Ophthalmology Medical University of Vienna","03prydq77","TP","","University of Vienna"
"7192482","Department of Telecommunications Brno University of Technology","03613d656","TP","","Brno University of Technology"
"7192483","Institute of Computer Graphics and Vision Graz University of Technology","00d7xrm67","TP","","Graz University of Technology"
"7192483","Institute of Mathematics and Scientific Computing University of Graz","01faaaf77","TP","","University of Graz"
"7192484","Institute of Computer Graphics and Vision Graz University of Technology","00d7xrm67","TP","","Graz University of Technology"
"7192484","Institute of Mathematics and Scientific Computing University of Graz","01faaaf77","TP","","University of Graz"
"7192484","Centre de Mathématiques Appliquées École Polytechnique","","FN","",""
"7192485","Department of Mathematics University of Innsbruck","054pv6659","TP","","Universität Innsbruck"
"7192486","Center for Industrial Mathematics (ZeTeM) University of Bremen","04ers2y35","TP","","University of Bremen"
"7192487","Research Unit of Mathematical Sciences University of Oulu","03yj89h83","TP","","University of Oulu"
"7192487","Department of Computer Science University College London","02jx3x895","TP","","University College London"
"7192488","Department of Mathematics University of British Columbia","03rmrcq20","TP","","University of British Columbia"
"7192488","Department of Applied Mathematics and Theoretical Physics University of Cambridge","013meh722","TP","","University of Cambridge"
"7192488","Department of Chemical and Biological Engineering University of British Columbia","03rmrcq20","TP","","University of British Columbia"
"7192489","Department of Mathematics and Physics University of Tasmania","01nfmeh72","TP","","University of Tasmania"
"7192490","School of Mathematics, Statistics and Computer Sciences University of KwaZulu-Natal","04qzfn040","TP","","University of KwaZulu-Natal"
"7192490","Institute of Systems Science Durban University of Technology","0303y7a51","TP","","Durban University of Technology"
"7192490","Department of Physics, IHSE Siksha O Anusandhan Deemed to be University","","FN","",""
"7192490","Department of Mathematics Amity University","02exxtn84","FP_wrong","","Amity University"
"7192491","Department of Mathematics and Computing Indian Institute of Technology (Indian School of Mines)","013v3cc28","TP","","Indian Institute of Technology Dhanbad"
"7192492","Department of Mathematics and Statistics University of Strathclyde","03p15s250","FP_wrong","","National Center for Health Statistics"
"7192493","Department of Mathematics SRM University-AP","037skf023","FP_wrong","","SRM University"
"7192493","Department of Mathematics Indian Institute of Technology Ropar","02qkhhn56","TP","","Indian Institute of Technology Ropar"
"7192494","Department of Materials Science and Engineering KTH Royal Institute of Technology","026vcq606","TP","","KTH Royal Institute of Technology"
"7192494","Department of Mathematics and Statistics University of Limerick","02x4af624","FP_wrong","","Central Statistics Office"
"7192495","University of Tunis El Manar Département de Mathématiques, Faculté des Sciences de Tunis","0105bda30","FP_wrong","","Virtual University of Tunis"
"7192496","Department of Mathematics, Tokyo University of Science","05sj3n476","TP","","Tokyo University of Science"
"7192496","Department of Mathematics, IME-USP, Rua do Matão 1010, Cidade Universitária","03j85fc72","FP_wrong","","Fraunhofer Institute for Molecular Biology and Applied Ecology"
"7192497","Department of Mathematics, Thai Nguyen University of Education","044deqz63","TP","","Thai Nguyen University Of Education"
"7192497","Thang Long Institute of Mathematics and Applied Sciences, Thang Long University","00dd6af44","TP","","Thang Long University"
"7192498","Department of Mathematics and the Maxwell Institute for Mathematical Sciences, Heriot-Watt University","04mghma93","TP","","Heriot-Watt University"
"7192499","College of Mathematical Sciences, Harbin Engineering University","03x80pn82","TP","","Harbin Engineering University"
"7192499","College of Mathematics and Computer Science, Northwest Minzu University","04cyy9943","TP","","Northwest Minzu University"
"7192499","College of Power and Energy Engineering, Harbin Engineering University","03x80pn82","TP","","Harbin Engineering University"
"7192500","Departamento de Matemáticas y Mecánica, IIMAS - UNAM","03ppy8d91","FP_wrong","","International Institute for Mesopotamian Area Studies"
"7192500","Università Ca’ Foscari, Dipartimento di Scienze Molecolari e Nanosistemi","04yzxz566","TP","","Ca' Foscari University of Venice"
"7192501","School of Mathematics and Statistics, Central South University","00f1zfq44","TP","","Central South University"
"7192502","Department of Mathematics, College of Information Science and Technology, Jinan University","04bgbsx11","TP","","Jinan University"
"7192502","School of Mathematics, Tianjin University","012tb2g32","TP","","Tianjin University"
"7192503","Department of Mathematical Sciences, Ulsan National Institute of Science and Technology","017cjz748","TP","","Ulsan National Institute of Science and Technology"
"7192504","College of Automation, Harbin Engineering University","03x80pn82","TP","","Harbin Engineering University"
"7192504","College of Mathematical Sciences, Harbin Engineering University","03x80pn82","TP","","Harbin Engineering University"
"7192505","Fakultät für Mathematik, Universität Bielefeld","02hpadn98","TP","","Bielefeld University"
"7192506","Tata Institute of Fundamental Research(TIFR) Centre for Applicable Mathematics","03ht1xw27","TP","","Tata Institute of Fundamental Research"
"7192506","Department of Mathematics, Indian Institute of Technology Delhi","049tgcd06","TP","","Indian Institute of Technology Delhi"
"7192506","LMAP (UMR E2S-UPPA CNRS 5142) Bat. IPRA","","FN","",""
"7192507","School of Mathematical Sciences, Qufu Normal University","03ceheh96","TP","","Qufu Normal University"
"7192507","School of Mathematics and Statistics, Shandong University of Technology","02mr3ar13","TP","","Shandong University of Technology"
"7192507","Department of Applied Mathematics, National University of Kaohsiung","013zjb662","TP","","National University of Kaohsiung"
"7192508","College of Mathematics and Computing Science, Hunan University of Science and Technology","02m9vrb24","TP","","Hunan University of Science and Technology"
"7192508","College of Mathematics, Hunan University","05htk5m33","TP","","Hunan University"
"7192509","School of Mathematics and Systems Science, Beihang University","00wk2mp56","TP","","Beihang University"
"7192510","Department of Mathematics","","TN","",""
"7192510","Department of Mathematical Analysis and Applications of Mathematics, Faculty of Science, Palacký University","04qxnmv42","TP","","Palacký University Olomouc"
"7192511","Department of Mathematics, Harbin University of Science and Technology","04e6y1282","TP","","Harbin University of Science and Technology"
"7192511","College of Mathematics and Systems Science, Shandong University of Science and Technology","04gtjhw98","TP","","Shandong University of Science and Technology"
"7192512","School of Science and Technology, Cape Breton University","052y05165","TP","","Cape Breton University"
"7192512","College of Mathematical Sciences, Harbin Engineering University","03x80pn82","TP","","Harbin Engineering University"
"7192513","School of Mathematics, Harbin Institute of Technology","01yqg2h08","TP","","Harbin Institute of Technology"
"7192514","Section de Mathématiques, EPFL","02s376052","TP","","École Polytechnique Fédérale de Lausanne"
"7192514","Department of Mathematics and Statistics, IISER Kolkata","00djv2c17","TP","","Indian Institute of Science Education and Research Kolkata"
"7192515","Department of Mathematics, Jiangxi Normal University","05nkgk822","TP","","Jiangxi Normal University"
"7192515","Center for PDEs, School of Mathematical Sciences, East China Normal University","","FN","",""
"7192516","Laboratoire de Mathématiques et leurs Applications","","FN","",""
"7192516","Università di Pisa, Dipartimento di Matematica","03ad39j10","TP","","University of Pisa"
"7192516","IRMAR, UMR CNRS 6625, University of Rennes 1 and FLUMINANCE Team","015m7wh34;00kf1a996","FP_partial","","Université de Rennes;Casa Fluminense"
"7192517","College of Mathematics and Systems Sciences, Shandong University of Science and Technology","04gtjhw98","TP","","Shandong University of Science and Technology"
"7192517","School of Mathematics and Information Science, North Minzu University","05xjevr11","TP","","North Minzu University"
"7192517","Department of Mathematics, Northwest Normal University","00gx3j908","TP","","Northwest Normal University"
"7192518","University of Tunis El Manar, Department of Mathematics, Faculty of Sciences of Tunis","0105bda30","FP_wrong","","Virtual University of Tunis"
"7192519","Departamento de Matemática, Universidade Federal da Paraíba","00p9vpz11","TP","","Universidade Federal da Paraíba"
"7192519","Departamento de Matemática, Universidade Federal Rural de Pernambuco","02ksmb993","TP","","Universidade Federal Rural de Pernambuco"
"7192520","Nonlinear Analysis and Applied Mathematics (NAAM) Research Group, Department of Mathematics, Faculty of Science, King Abdulaziz University","02ma4wv74","TP","","King Abdulaziz University"
"7192520","School of Mathematics and Computer Science, Shanxi Normal University","03zd3ta61","TP","","Shanxi Normal University"
"7192521","Department of Mathematics, University of Texas Rio Grande Valley","02p5xjf12","TP","","The University of Texas Rio Grande Valley"
"7192521","School of Mathematics and System Sciences, Beihang University","00wk2mp56","TP","","Beihang University"
"7192522","School of Mathematics and Statistics, Zhengzhou University","04ypx8c21","TP","","Zhengzhou University"
"7192522","College of Science, Zhongyuan University of Technology","0360zcg91","TP","","Zhongyuan University of Technology"
"7192523","Université de Poitiers, Laboratoire de Mathématiques et Applications, UMR CNRS 7348 - SP2MI","04xhy8q59","TP","","Université de Poitiers"
"7192523","Lebanese International University, School of Arts and Sciences","034agrd14","TP","","Lebanese International University"
"7192523","Fudan University (Fudan Fellow)","01zntxs11","FP_wrong","","Shanghai Medical College of Fudan University"
"7192523","Xiamen University, School of Mathematical Sciences","00mcjh785","TP","","Xiamen University"
"7192524","Department of Mechanics, Mathematics and Management, Polytechnic University of Bari","03c44v465","TP","","Polytechnic University of Bari"
"7192524","Laboratoire de Mathématiques CNRS UMR6623, Université de Bourgogne Franche-Comté","00vja3713","TP","","Université de Technologie et de Sciences Appliquées Libano-Française"
"7192525","Anhui University of Finance and Economics","0152zzg30","TP","","Anhui University of Finance and Economics"
"7192525","Universität Mannheim, 68131","031bsb921","TP","","University of Mannheim"
"7192526","Department of Mathematics, University of Torino","048tbm396","TP","","University of Turin"
"7192526","Department of Mathematics, Computer Science and Physics, University of Udine","05ht0mh31","TP","","University of Udine"
"7192527","Numerical Analysis and Large Networks Research Group, Hungarian Academy of Sciences","02ks8qq67","TP","","Hungarian Academy of Sciences"
"7192527","Institute of Mathematics, Eötvös Loránd University Budapest","01jsq2704","TP","","Eötvös Loránd University"
"7192528","School of Mathematics and Statistics, Northwestern Polytechnical University","01y0j0j86","TP","","Northwestern Polytechnical University"
"7192528","Department of Mathematics, Pisa University","03ad39j10","TP","","University of Pisa"
"7192529","College of Mathematical Sciences, Harbin Engineering University","03x80pn82","TP","","Harbin Engineering University"
"7192529","College of Automation, Harbin Engineering University","03x80pn82","TP","","Harbin Engineering University"
"7192530","College of Applied Mathematics, Chengdu University of Information Technology","01yxwrh59","TP","","Chengdu University of Information Technology"
"7192530","Department of Mathematics, Ryerson University","05g13zd79","TP","","Toronto Metropolitan University"
"7192531","Department of Mathematics and NTIS, Faculty of Applied Sciences, University of West Bohemia","040t43x18","TP","","University of West Bohemia"
"7192532","Departamento de Geometría y Topología, Universidad de Granada","04njjy449","TP","","Universidad de Granada"
"7192533","Università del Piemonte Orientale, Dipartimento di Scienze e Innovazione Tecnologica","04eg5s337","FP_wrong","","Mediterranean Universities Union"
"7192533","Università degli Studi di Milano - Bicocca, Dipartimento di Matematica e Applicazioni","01ynf4891","TP","","University of Milano-Bicocca"
"7192534","School of Statistics and Mathematics, Zhongnan University of Economics and Law","04yqxxq63","TP","","Zhongnan University of Economics and Law"
"7192535","Department of Mathematics, Xiangnan University","05by9mg64","TP","","Xiangnan University"
"7192536","School of Mathematical Sciences,University of Electronic Science and Technology of China","04qr3zq92","TP","","University of Electronic Science and Technology of China"
"7192537","School of Mathematics and Statistics, Northwestern Polytechnical University","01y0j0j86","TP","","Northwestern Polytechnical University"
"7192539","Department of Statistics, Bu-Ali Sina University, Hamedan, Iran","04ka8rx28","TP","","Bu-Ali Sina University"
"7192539","Department of Statistics, Allameh Tabataba’i University, Tehran, Iran","02cc4gc68","TP","","Allameh Tabataba'i University"
"7192540","Department of Medical Informatics, Biometry and Epidemiology, Ludwig-Maximilians-Universität of Munich, Germany","05591te55","TP","","Ludwig-Maximilians-Universität München"
"7192540","Department of Mathematics, University of Oslo, Oslo, Norway","01xtthb56","TP","","University of Oslo"
"7192540","Faculty of Medicine and Medical Center, Institute for Medical Biometry and Statistics, University of Freiburg, Freiburg, Germany","0245cg223","TP","","University of Freiburg"
"7192541","Shanghai Key Laboratory of Power Station Automation Technology, Department of Automation, College of Mechatronics Engineering and Automation, Shanghai University, Shanghai, People's Republic of China","006teas31","TP","","Shanghai University"
"7192542","Department of Statistics, Marvdasht Branch, Islamic Azad University, Marvdasht, Iran","02558wk32","FP_wrong","","Islamic Azad University, Arak"
"7192542","Department of Statistics, Qaemshahr Branch, Islamic Azad University, Qaemshahr, Iran","02558wk32","FP_wrong","","Islamic Azad University, Arak"
"7192543","School of Mathematics and Statistics, Jiangsu Normal University, Xuzhou, People's Republic of China","051hvcm98","TP","","Jiangsu Normal University"
"7192543","Institute of Statistics and LPMC, Nankai University, Tianjin, People's Republic of China","01y1kjr75","TP","","Nankai University"
"7192543","School of Mathematical Sciences, Nankai University, Tianjin, People's Republic of China","01y1kjr75","TP","","Nankai University"
"7192543","School of Mathematical Sciences, Huaiyin Normal University, Huaian, People's Republic of China","03xvggv44","TP","","Huaiyin Normal University"
"7192544","Statistics Department, Universidad Carlos III de Madrid, Madrid, Spain","03ths8210","TP","","Universidad Carlos III de Madrid"
"7192544","Department of Statistics, Yazd University, Yazd, Iran","02x99ac45","TP","","Yazd University"
"7192545","Department of Integrative Medicine, Beth Israel Medical Center, NY, USA","00bwhj131","TP","","Newark Beth Israel Medical Center"
"7192545","Department of Mathematical Sciences, SUNY, Binghamton, NY, USA","00qv0tw17","FP_wrong","","SUNY College of Environmental Science and Forestry"
"7192546","Departamento de Estatítica, IME, Universidade de Sao Paulo, Sao Paulo, Brazil","036rp1748","TP","","Universidade de São Paulo"
"7192546","Departamento de Matemáticas, Facultad de Ciencias Básicas, Universidad de Antofagasta, Antofagasta, Chile","04eyc6d95","TP","","Universidad de Antofagasta"
"7192546","Departamento de Matemática, Facultad de Ingeniería, Universidad de Atacama, Copiapó, Chile","022yres73","TP","","University of Atacama"
"7192546","Departamento de Ciencias Matemáticas y Físicas, Facultad de Ingeniería, Universidad Católica de Temuco, Temuco, Chile","051nvp675 ","TP","","Universidad Católica de Temuco"
"7192547","Faculty of Education, Science, Technology and Mathematics, University of Canberra, Canberra, Australia","04s1nv328","TP","","University of Canberra"
"7192547","Department of Statistics, Universidade Federal de Pernambuco, Recife, Brazil","047908t24","TP","","Universidade Federal de Pernambuco"
"7192547","Faculty of Administration, Accounting and Economics, Universidade Federal de Goiás, Goiania, Brazil","0039d5757","TP","","Universidade Federal de Goiás"
"7192547","School of Industrial Engineering, Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile","02cafbr77","TP","","Pontificia Universidad Católica de Valparaíso"
"7192547","Faculty of Basic Sciences, Universidad Católica del Maule, Talca, Chile","04vdpck27","TP","","Catholic University of the Maule"
"7192548","Institute of Mathematical Sciences, University of Malaya, Kuala Lumpur, Malaysia","00rzspn62","TP","","University of Malaya"
"7192549","Division of Clinical Nutrition and Nutrigenomic, Department of Biomedicine and Prevention, University of Rome ‘Tor Vergata’, Rome, Italy","02p77k626","TP","","University of Rome Tor Vergata"
"7192549","Department of Statistics, Federal University of Paraná, Curitiba, Brazil","05syd6y78","TP","","Universidade Federal do Paraná"
"7192549","Department of Exact Sciences, Luiz de Queiroz College of Agriculture, University of São Paulo, Piracicaba, Brazil","036rp1748","TP","","Universidade de São Paulo"
"7192550","Departamento de Estatística, Cidade Universitária, Universidade Federal de Pernambuco, Recife/PE, Brazil","032bg8m67","TP","","Centro Universitário da Cidade"
"7192550","Departamento de Estatística, Cidade Universitária, Universidade Federal de Pernambuco, Recife/PE, Brazil","047908t24","TP","","Universidade Federal de Pernambuco"
"7192550","Universidade Federal de Piauí Curso de Estatística, Campus Ministro Petrõnio Portela, CCN2, Teresina/PI, Brazil","00cs91c30;00x51ts23","FP_wrong","","Universidade Federal de Jataí;Centro Universitário Campos de Andrade"
"7192551","Department of Mathematical Sciences, University of Copenhagen, Copenhagen, Denmark","035b05819","TP","","University of Copenhagen"
"7192551","Department of Mathematics, Arak University, Arak, Iran","00ngrq502","TP","","Arak University"
"7192552","Centre for Actuarial Studies, Department of Economics, University of Melbourne, Melbourne, Australia","01ej9dk98","TP","","The University of Melbourne"
"7192552","Department of Quantitative Methods and TiDES Institute, University of Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Spain","01teme464","TP","","Universidad de Las Palmas de Gran Canaria"
"7192553","Faculty of Sciences and Mathematics, Department of Mathematics, University of Nis, Nis, Serbia","00965bg92","TP","","University of Nis"
"7192553","Faculty of Science, Department of Mathematics, Tanta University, Tanta, Egypt","016jp5b92","TP","","Tanta University"
"7192554","School of Mathematics, Southeast University, Nanjing, People's Republic of China","00cf0ab87","FP_wrong","","Southeast University"
"7192555","School of Statistics, Qufu Normal University, Qufu, People's Republic of China","03ceheh96","TP","","Qufu Normal University"
"7192555","College of Science, China University of Petroleum (East China), Qingdao, People's Republic of China","05gbn2817","TP","","China University of Petroleum, East China"
"7192556","Department of Statistics and Management, Shanghai University of Finance and Economics, Shanghai, People's Republic of China","00wtvfq62","TP","","Shanghai University of Finance and Economics"
"7192556","Department of Public Economics and Administration, Shanghai University of Finance and Economics, Shanghai, People's Republic of China","00wtvfq62","TP","","Shanghai University of Finance and Economics"
"7192557","School of Mathematics and Computer Science, Wuhan Polytechnic University, Wuhan, People’s Republic of China","05w0e5j23","TP","","Wuhan Polytechnic University"
"7192558","School of Economics, Huazhong University of Science & Technology, Wuhan, People's Republic of China","00p991c53","TP","","Huazhong University of Science and Technology"
"7192558","Department of Finance, Bocconi University, Milan, Italy","05crjpb27","TP","","Bocconi University"
"7192558","Department of Economic Statistics, Nanjing University of Posts & Telecommunications, Nanjing, People's Republic of China","043bpky34","TP","","Nanjing University of Posts and Telecommunications"
"7192559","University of Maryland, Baltimore County, Baltimore, MD, USA","047s2c258","FP_wrong","","University of Maryland, College Park"
"7192560","Department of Mathematic, Federal University of Technology - Paraná, Paraná, Brazil","002v2kq79","TP","","Universidade Tecnológica Federal do Paraná"
"7192560","Department of Exact Sciences, University of São Paulo, São Paulo, SP, Brazil","036rp1748","TP","","Universidade de São Paulo"
"7192560","Department of Statistics, Mathematics and Insurance, Benha University, Benha, Egypt","03tn5ee41","TP","","Benha University"
"7192560","Department of Statistics, Federal University of Pernambuco, Recife, PE, Brazil","047908t24","TP","","Universidade Federal de Pernambuco"
"7192561","Department of Statistics, National Cheng Kung University, Tainan, Taiwan","01b8kcc49","TP","","National Cheng Kung University"
"7192562","Department of Mathematics and Statistics, Villanova University, Villanova, PA, USA","02g7kd627","TP","","Villanova University"
"7192563","Department of Applied and Computational Mathematics and Statistics, University of Notre Dame, Notre Dame, IN, USA","00mkhxb43","TP","","University of Notre Dame"
"7192564","School of Science, Tianjin University of Technology and Education, People's Republic of China","035gwtk09","TP","","Tianjin University of Technology and Education"
"7192564","Institute of Statistics and LPMC, Nankai University, Tianjin, People's Republic of China","01y1kjr75","TP","","Nankai University"
"7192565","Interdisciplinary Statistical Research Unit (ISRU), Indian Statistical Institute, Kolkata700 108, West Bengal, India","00q2w1j53","TP","","Indian Statistical Institute"
"7192566","Institute for Clinical Evaluative Sciences, Toronto, ON, Canada","","FN","",""
"7192566","Schulich Heart Research Program, Sunnybrook Research Institute, Toronto, ON, Canada","05n0tzs53","TP","","Sunnybrook Research Institute"
"7192566","Institute of Health Management, Policy and Evaluation, University of Toronto, Toronto, ON, Canada","03dbr7087","TP","","University of Toronto"
"7192567","Department of Statistics, Marmara University, Istanbul, Turkey","02kswqa67","TP","","Marmara University"
"7192568","Department of Biostatistics, UTHealth, Houston, TX, USA","05cwbxa29","TP","","The University of Texas Health Science Center"
"7192568","Department of Epidemiology, UTHealth, Austin, TX, USA","05cwbxa29","TP","","The University of Texas Health Science Center"
"7192569","School of Basic Science, Changchun University of Technology, Changchun, Jilin, People's Republic of China","052pakb34","TP","","Changchun University of Technology"
"7192569","School of Mathematics, Jilin University, Changchun, Jilin, People's Republic of China","00js3aw79","TP","","Jilin University"
"7192570","Department of Statistics, Faculty of Science, Dokuz Eylul University, Izmir, Turkey","00dbd8b73","TP","","Dokuz Eylül University"
"7192570","The Graduate School of Natural and Applied Sciences, Dokuz Eylul University, Izmir, Turkey","00dbd8b73","TP","","Dokuz Eylül University"
"7192571","School of Mathematics and Statistics, Xidian University, Xi'an, People's Republic of China","05s92vm98","TP","","Xidian University"
"7192572","Department of Biomedical Science, Stanford University, Stanford, CA, USA","00f54p054","TP","","Stanford University"
"7192572","School of Economics and Management, Beijing Jiaotong University, Beijing, People's Republic China","01yj56c84","TP","","Beijing Jiaotong University"
"7192573","Department of Mathematics and Statistics, University of Maryland, Baltimore, MD, USA","047s2c258","TP","","University of Maryland, College Park"
"7192573","Center for Statistical Research & Methodology, U.S. Census Bureau, Washington, DC, USA","00h6vxx49","TP","","U.S. Green Building Council"
"7192574","Department of Mathematics and Statistics, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia","03yez3163","TP","","King Fahd University of Petroleum and Minerals"
"7192574","Department of Mathematics, University of Hafr Al Batin, Hafrl Al Batin, Saudi Arabia","021jt1927","TP","","University of Hafr Al-Batin"
"7192574","National College of Business Administration and Economics, Lahore, Pakistan","02my4wj17","TP","","National College of Business Administration and Economics"
"7192575","Department of Epidemiology and Biostatistics, University of South Carolina, Columbia, SC, USA","02b6qw903","TP","","University of South Carolina"
"7192575","Department of Biostatistics, School of Public Health and Key Laboratory of Public Health Safety, Fudan University, Shanghai, People's Republic of China","013q1eq08","TP","","Fudan University"
"7192575","School of Data Science, Fudan University, Shanghai, People's Republic of China","013q1eq08","TP","","Fudan University"
"7192576","Colegio de Postgraduados, Texcoco, México","00qfnf017","TP","","Colegio de Postgraduados"
"7192577","Department of Mathematics and Statistics, McMaster University, Hamilton, ON, Canada","02fa3aq29","TP","","McMaster University"
"7192577","Department of Mathematical Sciences, University of South Dakota, Vermillion, SD, USA","0043h8f16","TP","","University of South Dakota"
"7192577","Department of Statistics, Tamkang University, New Taipei City, Taiwan","04tft4718","TP","","Tamkang University"
"7192578","Department of Biostatistics, University of Alabama at Birmingham, Birmingham, AL, USA","008s83205","TP","","University of Alabama at Birmingham"
"7192578","Finance, Economics, and Accounting, Jacksonville State University, Jacksonville, AL, USA","014wfj781","TP","","Jacksonville State University"
"7192578","The Kirklin Clinic of UAB Hospital, University of Alabama School of Medicine, Birmingham, AL, USA","03xrrjk67","FP_wrong","","University of Alabama"
"7192579","Department of Statistics, Persian Gulf university, Bushehr, Iran","03n2mgj60","TP","","Persian Gulf University"
"7192579","Department of Statistics, Universidade Federal de Pernumbuco, Pernumbuco, Brazil","047908t24","TP","","Universidade Federal de Pernambuco"
"7192579","Department of Statistics, Malayer University, Malayer, Iran","03rk9sq81","TP","","Malayer University"
"7192579","Department of Statistics, Hacettepe University, Ankara, Turkey","04kwvgz42","TP","","Hacettepe University"
"7192580","Department of Mathematical Sciences, University of Wisconsin-Milwaukee, Milwaukee, WI, USA","031q21x57","TP","","University of Wisconsin–Milwaukee"
"7192580","Department of Mathematics, Robert Morris University, Moon Township, PA, USA","03r24vd05","TP","","Robert Morris University"
