an,doi
6676473,10.1142/S0217732317300014
6676474,10.1142/S0217732317500018
7113793,10.1007/s11045-019-00641-y
7192482,10.1007/s10851-019-00927-7
7192714,10.1080/00949655.2018.1505198
7192715,10.1080/00949655.2018.1505197
7192797,10.1017/jfm.2020.224
7192800,10.1017/jfm.2020.197
7192804,10.1017/jfm.2020.214
7192805,10.1017/jfm.2020.221
7192881,10.1007/s40840-020-00900-3
7192882,10.1007/s11182-019-01798-6
7192883,10.1007/s11182-019-01799-5
7192884,10.1007/s11182-019-01800-1
7192885,10.1007/s11182-019-01801-0
7192886,10.1007/s11182-019-01802-z
7192887,10.1007/s11182-019-01803-y
7192888,10.1007/s11182-019-01804-x
7192889,10.1007/s11182-019-01805-w
7192890,10.1007/s11182-019-01806-9
7192891,10.1007/s11182-019-01807-8
7192892,10.1007/s11182-019-01808-7
7192893,10.1007/s11182-019-01809-6
7192897,10.1007/s11182-019-01813-w
7192898,10.1007/s11182-019-01814-9
7192899,10.1007/s11182-019-01815-8
7192900,10.1007/s11182-019-01816-7
7192901,10.1007/s11182-019-01817-6
7192902,10.1007/s11182-019-01818-5
7192903,10.1007/s11182-019-01819-4
7192904,10.1007/s11182-019-01820-x
7192905,10.1007/s11182-019-01821-w
7192906,10.1007/s11182-019-01822-9
7198965,10.1007/s00291-019-00570-z
7198969,10.1007/s00291-020-00577-x
7198986,10.1515/demo-2019-0008
7199054,10.1016/j.camwa.2019.08.034
7199286,10.1142/S0218271820300037
7199291,10.1142/S0218271820500248
7347171,10.1017/jfm.2021.280
7442286,10.1007/978-3-030-49728-6_11
7610603,10.1142/S0218348X22500992
7610604,10.1142/S0218348X22501006
7624888,10.1007/978-3-030-85318-1_30
7800289,10.1007/978-3-030-21759-4_15
7890231,10.54341/20778708_2024_2_59_11
7890232,10.54341/20778708_2024_2_59_16
7890233,10.54341/20778708_2024_2_59_22
7890234,10.54341/20778708_2024_2_59_27
7890237,10.54341/20778708_2024_2_59_43
7890238,10.54341/20778708_2024_2_59_48
7937829,10.1080/01621459.2024.2375035
7975827,10.1007/s11012-024-01870-7
8006337,10.1007/s00034-023-02593-y
8006339,10.1007/s00034-023-02596-9
8006340,10.1007/s00034-023-02597-8
8006341,10.1007/s00034-024-02598-1
8006342,10.1007/s00034-024-02601-9
8006343,10.1007/s00034-024-02602-8
8006344,10.1007/s00034-024-02603-7
8011472,10.1145/3704848
8011473,10.1145/3704849
8011485,10.1145/3704861
8016647,10.1007/978-3-031-78238-1
8016648,10.1007/978-3-031-78241-1
