an,ror_id
7192470.0,02feahw73
7192470.0,02kzqn938
7192470.0,02mdnkg28
7192472.0,01r4q9n85
7192472.0,04f2nsd36
7192474.0,03rmrcq20
7192474.0,0190ak572
7192474.0,03v4gjf40
7192474.0,00d7xrm67
7192474.0,00za53h95
7192475.0,03qryx823
7192475.0,00za53h95
7192475.0,0316ej306
7192475.0,04raf6v53
7192476.0,057er4c39
7192476.0,00mz87608
7192476.0,04zzdbj59
7192476.0,0220k9r37
7192476.0,04yrrdj53
7192477.0,03qryx823
7192477.0,00f54p054
7192477.0,03qryx823
7192477.0,00za53h95
7192478.0,05x2bcf33
7192479.0,03rmrcq20
7192479.0,
7192479.0,03czfpz43
7192480.0,0266kfd37
7192480.0,030hj3061
7192480.0,05mqemx33
7192480.0,02jp0cd74
7192481.0,03prydq77
7192481.0,05n3x4p02
7192481.0,03613d656
7192482.0,03prydq77
7192482.0,05n3x4p02
7192482.0,03613d656
7192483.0,00d7xrm67
7192483.0,01faaaf77
7192484.0,00d7xrm67
7192484.0,01faaaf77
7192484.0,05hy3tk52
7192485.0,054pv6659
7192486.0,04ers2y35
7192487.0,03yj89h83
7192487.0,02jx3x895
7192488.0,03rmrcq20
7192488.0,013meh722
7192488.0,03rmrcq20
7192489.0,01nfmeh72
7192490.0,04qzfn040
7192490.0,0303y7a51
7192490.0,
7192490.0,02n9z0v62
7192491.0,01hhf7w52
7192492.0,00n3w3b69
7192493.0,013vs5h31
7192493.0,02qkhhn56
7192494.0,026vcq606
7192494.0,00a0n9e72
7192495.0,029cgt552
7192496.0,05sj3n476
7192496.0,036rp1748
7192497.0,044deqz63
7192497.0,00dd6af44
7192498.0,04mghma93
7192499.0,03x80pn82
7192499.0,04cyy9943
7192499.0,03x80pn82
7192500.0,01tmp8f25
7192500.0,04yzxz566
7192501.0,00f1zfq44
7192502.0,02mjz6f26
7192502.0,012tb2g32
7192503.0,017cjz748
7192504.0,03x80pn82
7192504.0,03x80pn82
7192505.0,02hpadn98
7192506.0,03ht1xw27
7192506.0,049tgcd06
7192506.0,00g669j87
7192507.0,03ceheh96
7192507.0,02mr3ar13
7192507.0,013zjb662
7192508.0,04ymz0q33
7192508.0,04nm9ed20
7192509.0,00wk2mp56
7192510.0,
7192510.0,04qxnmv42
7192511.0,04e6y1282
7192511.0,04gtjhw98
7192512.0,052y05165
7192512.0,03x80pn82
7192513.0,01yqg2h08
7192514.0,02s376052
7192514.0,00djv2c17
7192515.0,05nkgk822
7192515.0,02n96ep67
7192516.0,02p2rk609
7192516.0,03ad39j10
7192516.0,015m7wh34
7192516.0,05y76vp22
7192517.0,04gtjhw98
7192517.0,04cyy9943
7192517.0,00gx3j908
7192518.0,029cgt552
7192519.0,00p9vpz11
7192519.0,02ksmb993
7192520.0,02ma4wv74
7192520.0,03zd3ta61
7192521.0,02p5xjf12
7192521.0,00wk2mp56
7192522.0,04ypx8c21
7192522.0,0360zcg91
7192523.0,04xhy8q59
7192523.0,02p2rk609
7192523.0,034agrd14
7192523.0,013q1eq08
7192523.0,00mcjh785
7192524.0,03c44v465
7192524.0,02dn7x778
7192524.0,03s0gj002
7192525.0,0152zzg30
7192525.0,031bsb921
7192526.0,048tbm396
7192526.0,05ht0mh31
7192527.0,02ks8qq67
7192527.0,01jsq2704
7192528.0,05wn69s11
7192528.0,03ad39j10
7192529.0,03x80pn82
7192529.0,03x80pn82
7192530.0,01yxwrh59
7192530.0,05g13zd79
7192531.0,040t43x18
7192532.0,04njjy449
7192533.0,04387x656
7192533.0,01ynf4891
7192534.0,04yqxxq63
7192535.0,00xsfaz62
7192536.0,04qr3zq92
7192537.0,05wn69s11
7192539.0,04ka8rx28
7192539.0,02cc4gc68
7192540.0,05591te55
7192540.0,01xtthb56
7192540.0,0245cg223
7192541.0,006teas31
7192542.0,00bqttt79
7192542.0,01kzn7k21
7192543.0,051hvcm98
7192543.0,01y1kjr75
7192543.0,01y1kjr75
7192543.0,03n7a5z57
7192544.0,03ths8210
7192544.0,02x99ac45
7192545.0,00bwhj131
7192545.0,008rmbt77
7192546.0,036rp1748
7192546.0,04eyc6d95
7192546.0,022yres73
7192546.0,051nvp675
7192547.0,04s1nv328
7192547.0,047908t24
7192547.0,0039d5757
7192547.0,02cafbr77
7192547.0,04vdpck27
7192548.0,00rzspn62
7192549.0,02p77k626
7192549.0,05syd6y78
7192549.0,036rp1748
7192550.0,047908t24
7192550.0,00kwnx126
7192551.0,035b05819
7192551.0,00ngrq502
7192552.0,01ej9dk98
7192552.0,01teme464
7192553.0,00965bg92
7192553.0,016jp5b92
7192554.0,04ct4d772
7192555.0,03ceheh96
7192555.0,05gbn2817
7192556.0,00wtvfq62
7192556.0,00wtvfq62
7192557.0,05w0e5j23
7192558.0,00p991c53
7192558.0,05crjpb27
7192558.0,043bpky34
7192559.0,00dncgb07
7192560.0,002v2kq79
7192560.0,036rp1748
7192560.0,03tn5ee41
7192560.0,047908t24
7192561.0,01b8kcc49
7192562.0,02g7kd627
7192563.0,00mkhxb43
7192564.0,035gwtk09
7192564.0,01y1kjr75
7192565.0,00q2w1j53
7192566.0,05p6rhy72
7192566.0,05n0tzs53
7192566.0,03dbr7087
7192567.0,02kswqa67
7192568.0,03gds6c39
7192568.0,05cwbxa29
7192569.0,052pakb34
7192569.0,00js3aw79
7192570.0,00dbd8b73
7192570.0,00dbd8b73
7192571.0,05s92vm98
7192572.0,00f54p054
7192572.0,01yj56c84
7192573.0,00dncgb07
7192573.0,01qn7cs15
7192573.0,01vqjmx11
7192574.0,03yez3163
7192574.0,021jt1927
7192574.0,02my4wj17
7192575.0,03rtgjq94
7192575.0,013q1eq08
7192575.0,013q1eq08
7192576.0,00qfnf017
7192577.0,02fa3aq29
7192577.0,0043h8f16
7192577.0,04tft4718
7192578.0,008s83205
7192578.0,014wfj781
7192578.0,01rm42p40
7192578.0,008s83205
7192579.0,03n2mgj60
7192579.0,00aj4th23
7192579.0,03rk9sq81
7192579.0,04kwvgz42
7192580.0,031q21x57
7192580.0,03r24vd05
7192581.0,022yres73
7192581.0,03nawhv43
7192582.0,02fa3aq29
7192582.0,05d2yfz11
7192583.0,04s9hft57
7192583.0,02rgb2k63
7192584.0,041pakw92
7192584.0,041pakw92
7192585.0,002k8gm39
7192585.0,02retg991
7192585.0,033sc7b24
7192586.0,03yjb2x39
7192587.0,04yqw9c44
7192587.0,0176yjw32
7192588.0,04gyf1771
7192588.0,05dxps055
7192589.0,04s9hft57
7192590.0,02ase7r14
7192590.0,04bqqa360
7192591.0,04teye511
7192591.0,04yqw9c44
7192592.0,034t30j35
7192592.0,02jkmyk67
7192592.0,02n96ep67
7192592.0,031t68441
7192592.0,00wtvfq62
7192593.0,03vek6s52
7192593.0,03vek6s52
7192594.0,05a28rw58
7192595.0,04dawnj30
7192595.0,022k4wk35
7192595.0,02xe5ns62
7192596.0,036rp1748
7192597.0,02xfp8v59
7192597.0,02xfp8v59
7192598.0,041pakw92
7192599.0,03kkevc75
7192600.0,0569mkk41
7192600.0,02nkdxk79
7192600.0,0569mkk41
7192600.0,0406gha72
7192601.0,04agmb972
7192602.0,00g6ka752
7192602.0,05khxfe53
7192603.0,027m9bs27
7192603.0,04kwvgz42
7192604.0,05abs3w97
7192605.0,04haebc03
7192605.0,02qtvee93
7192606.0,041pakw92
7192607.0,00txhpa83
7192607.0,04j351e79
7192607.0,02wn5qz54
7192608.0,05fp9g671
7192609.0,05j1kc284
7192609.0,04v3ywz14
7192610.0,03te4vd35
7192610.0,01wntqw50
7192612.0,03xpwj629
7192612.0,01n7x9n08
7192612.0,03xpwj629
7192612.0,01y1kjr75
7192613.0,02smfhw86
7192613.0,0153tk833
7192614.0,03ayjn504
7192614.0,0405mnx93
7192615.0,05n2cz176
7192616.0,01x8rc503
7192617.0,02smfhw86
7192617.0,02fa3aq29
7192618.0,01scyh794
7192618.0,059nn3902
7192618.0,01scyh794
7192618.0,01scyh794
7192618.0,0555ezg60
7192619.0,02gdzyx04
7192619.0,00yqvtm78
7192620.0,03ths8210
7192620.0,01kvepn75
7192620.0,03n6nwv02
7192621.0,05vf56z40
7192622.0,00mcjh785
7192623.0,02kb89c09
7192624.0,05wxkj555
7192625.0,04s9hft57
7192626.0,00dbd8b73
7192627.0,026vtd268
7192628.0,02wkcrp04
7192628.0,02p5wzp69
7192629.0,00g0p6g84
7192629.0,02fa3aq29
7192630.0,059me1x50
7192631.0,048sx0r50
7192631.0,029gksw03
7192632.0,04gcegc37
7192632.0,033vjfk17
7192632.0,04yqxxq63
7192632.0,04gcegc37
7192634.0,01kj2bm70
7192634.0,03k3p7647
7192634.0,05p6qqk79
7192634.0,05510vn56
7192635.0,01kj2bm70
7192635.0,02crff812
7192635.0,02crff812
7192635.0,05510vn56
7192636.0,04exg7985
7192636.0,02cafbr77
7192636.0,00h9jrb69
7192637.0,041yk2d64
7192637.0,041yk2d64
7192638.0,05510vn56
7192638.0,0460jpj73
7192638.0,04dndfk38
7192638.0,01kj2bm70
7192639.0,03k3p7647
7192639.0,05p6qqk79
7192639.0,04ka8rx28
7192640.0,00013q465
7192641.0,05510vn56
7192641.0,02cafbr77
7192641.0,049emcs32
7192642.0,04wffgt70
7192642.0,03ths8210
7192643.0,04m5j1k67
7192643.0,02ynb0474
7192644.0,0555ezg60
7192645.0,00mcjh785
7192645.0,00mcjh785
7192645.0,03tgsfw79
7192646.0,02263ky35
7192646.0,051kpcy16
7192646.0,016jp5b92
7192647.0,05wxkj555
7192647.0,05wxkj555
7192649.0,03jqp6d56
7192649.0,02cc4gc68
7192649.0,04ka8rx28
7192649.0,00afp2z80
7192650.0,022yres73
7192650.0,036rp1748
7192651.0,01ej9dk98
7192651.0,02e3ssq97
7192651.0,04tfzc498
7192652.0,01y1kjr75
7192652.0,035gwtk09
7192653.0,036rp1748
